   163/799        0G   0.03683    0.1115         0    0.1483       449       640       0.6    0.4422    0.4029    0.1353   0.08518    0.5203         0
   164/799        0G   0.03803      0.11         0    0.1481       767       640    0.6194    0.4499    0.4208     0.143   0.08448    0.5105         0
   165/799        0G   0.03744    0.1188         0    0.1562       973       640    0.6767    0.4063    0.4054    0.1385   0.08424    0.5192         0
   166/799        0G   0.03766    0.1126         0    0.1503       777       640    0.6664    0.3868    0.3859    0.1328   0.08457    0.5392         0
   167/799        0G   0.03792    0.1075         0    0.1454       735       640    0.6515    0.4027    0.4012    0.1389   0.08395    0.5275         0
   168/799        0G   0.04011    0.1173         0    0.1575       594       640    0.6484     0.419    0.4134    0.1451   0.08383    0.5137         0
   169/799        0G    0.0378    0.1138         0    0.1516       856       640    0.6407    0.4109    0.4023    0.1372   0.08425    0.5132         0
   170/799        0G   0.03817    0.1224         0    0.1605       926       640    0.6781    0.4093    0.4115    0.1417   0.08501    0.5339         0
   171/799        0G   0.03762     0.117         0    0.1546       893       640    0.6617    0.3986    0.3996    0.1388   0.08483    0.5302         0
   172/799        0G   0.03737     0.105         0    0.1423       831       640    0.6045    0.4239    0.4011    0.1359   0.08536    0.5276         0
   173/799        0G   0.03761    0.1175         0    0.1551      1614       640    0.5967    0.4384    0.4052    0.1375   0.08445    0.5264         0
   174/799        0G    0.0383   0.09991         0    0.1382       685       640    0.5821    0.4575    0.4105    0.1344   0.08461    0.5254         0
   175/799        0G   0.03781    0.1093         0    0.1472       522       640    0.5753    0.4231    0.3824    0.1231   0.08521    0.5305         0
   176/799        0G   0.03746    0.1217         0    0.1591      1605       640    0.6119    0.4438    0.4083    0.1367   0.08503    0.5273         0
   177/799        0G   0.03731    0.1124         0    0.1497       944       640    0.5974    0.4419    0.4045    0.1405   0.08478    0.5207         0
   178/799        0G   0.03669    0.1076         0    0.1443       326       640    0.6568    0.4116    0.4085    0.1374   0.08397    0.5242         0
   179/799        0G   0.03857    0.1068         0    0.1454       301       640    0.6704    0.4281    0.4217    0.1369   0.08493    0.5246         0
   180/799        0G   0.03936    0.1077         0    0.1471       630       640    0.6011    0.4346     0.401    0.1315   0.08512    0.5512         0
   181/799        0G   0.03678     0.104         0    0.1408       562       640    0.6787    0.4161    0.4127    0.1378   0.08503    0.5437         0
   182/799        0G   0.03743     0.111         0    0.1485       906       640    0.6354    0.4468    0.4156    0.1401   0.08422    0.5347         0
   183/799        0G   0.03774    0.1067         0    0.1445       842       640    0.6741    0.4147    0.4116    0.1394   0.08427    0.5346         0
   184/799        0G   0.03811    0.1141         0    0.1522       493       640    0.6582    0.4223    0.4115    0.1392   0.08474    0.5449         0
   185/799        0G   0.03701    0.1084         0    0.1454       767       640    0.6109    0.4315    0.4058    0.1352   0.08443    0.5437         0
   186/799        0G   0.03864    0.1138         0    0.1524       637       640    0.5563    0.4235    0.3756    0.1207   0.08498    0.5261         0
   187/799        0G   0.03841    0.1098         0    0.1482       868       640    0.6159     0.394    0.3732    0.1207   0.08606    0.5251         0
   188/799        0G   0.03763    0.1135         0    0.1511       498       640    0.6418    0.4236    0.4091    0.1399   0.08418    0.5188         0
   189/799        0G   0.03787    0.1116         0    0.1494       354       640    0.6006    0.4419    0.4059     0.137   0.08432    0.5439         0
   190/799        0G   0.03936    0.1152         0    0.1546      1133       640    0.6179    0.4556    0.4163    0.1326   0.08429    0.5325         0
   191/799        0G   0.03712    0.1013         0    0.1384       806       640    0.6038    0.4472    0.4063    0.1356   0.08397    0.5301         0
   192/799        0G   0.03705    0.1075         0    0.1445       402       640    0.6231    0.4556    0.4244    0.1437   0.08347    0.5313         0
   193/799        0G   0.03736    0.1058         0    0.1431       674       640    0.6877     0.417    0.4207    0.1421   0.08341    0.5378         0
   194/799        0G   0.03805    0.1112         0    0.1493      1123       640    0.6762    0.4067    0.4086    0.1369   0.08398    0.5281         0
   195/799        0G   0.03746    0.1013         0    0.1388       264       640    0.6962    0.4155     0.424    0.1407   0.08395    0.5187         0
   196/799        0G    0.0379    0.1001         0     0.138       659       640    0.6499    0.4392    0.4214    0.1451   0.08454    0.5318         0
   197/799        0G   0.03874    0.1096         0    0.1484      1548       640    0.7082    0.4131      0.42    0.1426   0.08471    0.5411         0
   198/799        0G   0.03645    0.1072         0    0.1437       278       640    0.6592    0.4078    0.3964    0.1369   0.08537    0.5517         0
   199/799        0G   0.03863    0.1112         0    0.1499       449       640    0.6786    0.4139    0.4079    0.1416   0.08511    0.5345         0
   200/799        0G   0.03827    0.1117         0    0.1499      1078       640    0.6575    0.4308    0.4135    0.1447   0.08457    0.5275         0
   201/799        0G   0.03735    0.1127         0      0.15       386       640    0.6664    0.4226      0.41    0.1407    0.0848    0.5279         0
   202/799        0G    0.0385    0.1085         0     0.147       456       640    0.6292    0.4495      0.42    0.1445   0.08509    0.5276         0
   203/799        0G   0.03733    0.1107         0     0.148      1090       640    0.6239    0.4303    0.4041    0.1377   0.08568    0.5215         0
   204/799        0G   0.03685    0.1032         0      0.14       501       640    0.5972    0.4464     0.402    0.1386   0.08588      0.53         0
   205/799        0G   0.03716    0.1076         0    0.1447      1430       640    0.5805    0.4342      0.39    0.1359   0.08574    0.5268         0
   206/799        0G   0.03679    0.1091         0    0.1458       474       640    0.6624    0.4185    0.4075      0.14   0.08511    0.5326         0
   207/799        0G    0.0371    0.1082         0    0.1453       694       640     0.586    0.4273    0.3855    0.1273   0.08611    0.5346         0
   208/799        0G   0.03901     0.108         0     0.147       874       640    0.6086    0.4591    0.4204    0.1428   0.08457    0.5373         0
   209/799        0G   0.03749    0.1117         0    0.1492       695       640    0.5926    0.4346    0.3979    0.1368   0.08431    0.5377         0
   210/799        0G    0.0362    0.1124         0    0.1486      1037       640    0.5892    0.4507    0.4031      0.14   0.08427    0.5322         0
   211/799        0G   0.03749    0.1186         0    0.1561      1276       640    0.6017    0.4415    0.4055    0.1373    0.0842     0.532         0
   212/799        0G   0.03727    0.1029         0    0.1401       783       640    0.5973    0.4342    0.3943    0.1335   0.08477     0.549         0
   213/799        0G   0.03618    0.1016         0    0.1378       638       640    0.5913    0.4304    0.3916    0.1328   0.08494    0.5406         0
   214/799        0G   0.03754    0.1112         0    0.1487      1179       640    0.5989    0.4407    0.4027    0.1331    0.0844    0.5316         0
   215/799        0G   0.03631    0.1064         0    0.1427       769       640    0.6925    0.3761    0.3771    0.1255   0.08409    0.5399         0
   216/799        0G   0.03659    0.1142         0    0.1508       684       640    0.6137    0.4346    0.4034    0.1335   0.08419    0.5468         0
   217/799        0G   0.03705    0.1073         0    0.1444      1043       640    0.5988    0.4422    0.4053    0.1369   0.08405    0.5527         0
   218/799        0G   0.03745    0.1156         0    0.1531      1300       640    0.6605     0.417     0.407    0.1412   0.08442    0.5556         0
   219/799        0G   0.03622    0.1058         0     0.142       614       640    0.7145    0.3994    0.4041    0.1394    0.0841    0.5718         0
   220/799        0G   0.03685    0.1054         0    0.1422       334       640    0.7031    0.4047    0.4091    0.1389   0.08381    0.5499         0
   221/799        0G   0.03691    0.1058         0    0.1427       645       640    0.6317    0.4434    0.4212    0.1445   0.08407    0.5463         0
   222/799        0G   0.03653    0.1108         0    0.1474       588       640    0.5879    0.4533    0.4097    0.1398    0.0848    0.5499         0
   223/799        0G   0.03743    0.1107         0    0.1482       650       640    0.6546    0.4219    0.4084    0.1412   0.08409    0.5553         0
   224/799        0G   0.03786    0.1111         0     0.149       637       640    0.6898    0.4331    0.4337     0.149   0.08362    0.5443         0
   225/799        0G    0.0366     0.109         0    0.1456       471       640    0.6338    0.4509    0.4268    0.1424   0.08406    0.5494         0
   226/799        0G   0.03727    0.1073         0    0.1446       784       640    0.6097    0.4575    0.4247    0.1454   0.08337    0.5413         0
   227/799        0G   0.03635    0.1125         0    0.1488       780       640    0.6258    0.4529    0.4228    0.1462   0.08296    0.5529         0
   228/799        0G    0.0372    0.1067         0    0.1439       645       640    0.6255    0.4484    0.4152    0.1413   0.08283    0.5501         0
   229/799        0G   0.03704    0.1076         0    0.1446      1546       640    0.6058    0.4472    0.4072    0.1361   0.08342    0.5609         0
